"Excel CSV """"date format""""",,,,,,,,,,,,,,,
"Reference date","Open market operations excl. MonPol portfolios","Marginal lending facility","Deposit facility","Net liquidity effect from Autonomous Factors and MonPol portfolios","Current accounts","Reserve requirements","Excess liquidity","Covered bonds purchase programme","Securities markets programme","Covered bonds purchase programme 2","Covered bonds purchase programme 3","ABS purchase programme","Public sector purchase programme","Corporate sector purchase programme","Pandemic emergency purchase programme"
17/06/20,1026252,5,242154,-1251780,2039703,141186,2136847,,,,,,,,
18/06/20,1026252,0,264465,-1237300,1999087,141186,2122366,,,,,,,,
19/06/20,1026252,0,267647,-1227088,1985694,141186,2112155,638,34494,2901,282433,30820,2237167,219240,315508
22/06/20,1026252,0,270360,-1221026,1976919,141186,2106093,,,,,,,,
23/06/20,1026252,1,275180,-1225026,1976098,141186,2110092,,,,,,,,
24/06/20,1589443,0,286082,-1219799,2523160,141186,2668056,,,,,,,,
25/06/20,1590109,22,291022,-1222035,2521144,141186,2670957,,,,,,,,
26/06/20,1590109,7,299197,-1240097,2531016,141186,2689019,462,34494,2869,283181,30486,2245312,220140,345520
29/06/20,1590109,7,313531,-1268876,2545462,141186,2717799,,,,,,,,
30/06/20,1590109,0,353622,-1265875,2502362,141186,2714797,,,,,,,,
01/07/20,1590810,0,395395,-1329962,2525377,141186,2779586,,,,,,,,
02/07/20,1590810,0,410322,-1320820,2501308,141186,2770444,,,,,,,,
03/07/20,1590810,0,418949,-1328587,2500449,141186,2778212,462,34569,2869,284055,30634,2249725,220428,365671
06/07/20,1590810,0,431866,-1344362,2503306,141186,2793986,,,,,,,,
07/07/20,1590810,0,434524,-1346933,2503220,141186,2796557,,,,,,,,
08/07/20,1590528,0,444079,-1348420,2494870,141186,2797762,,,,,,,,
09/07/20,1590528,0,444528,-1360502,2506502,141186,2809844,,,,,,,,
10/07/20,1590528,0,459737,-1367287,2498078,141186,2816629,462,34569,2869,284944,30771,2252988,223700,383177
13/07/20,1590528,10,453611,-1362518,2499447,141186,2811861,,,,,,,,
14/07/20,1590528,23,447396,-1366681,2509837,141186,2816024,,,,,,,,
15/07/20,1590464,1,458995,-1367538,2499008,141186,2816816,,,,,,,,
16/07/20,1590464,0,443686,-1343228,2490007,141186,2792506,,,,,,,,
17/07/20,1590464,3,452386,-1325652,2463733,141186,2774930,462,34569,2869,285219,30521,2250741,224340,403750
20/07/20,1590464,0,434959,-1314665,2470171,141186,2763943,,,,,,,,
21/07/20,1590464,0,447965,-1304143,2446643,141186,2753421,,,,,,,,
22/07/20,1590563,74,290685,-1313658,2613611,142384,2761838,,,,,,,,
23/07/20,1590563,36,277524,-1325475,2638550,142384,2773654,,,,,,,,
24/07/20,1590563,10,289814,-1338028,2638787,142384,2786208,462,34569,2869,284582,30222,2260156,224213,422581
27/07/20,1590563,90,305514,-1359679,2644819,142384,2807859,,,,,,,,
28/07/20,1590563,95,300018,-1368527,2659166,142384,2816707,,,,,,,,
29/07/20,1590583,70,301521,-1375959,2665090,142384,2824158,,,,,,,,
30/07/20,1590036,154,315988,-1391947,2666150,142384,2839600,,,,,,,,
31/07/20,1590036,0,347407,-1407812,2650441,142384,2855465,462,34569,2869,283964,30119,2258438,224220,440057
03/08/20,1590036,0,351503,-1431535,2670068,142384,2879187,,,,,,,,
04/08/20,1590036,1,368039,-1439999,2661997,142384,2887651,,,,,,,,
05/08/20,1589846,1,358857,-1439705,2670695,142384,2887167,,,,,,,,
06/08/20,1595531,81,361174,-1438643,2673080,142384,2891790,,,,,,,,
07/08/20,1595531,0,376243,-1455478,2674766,142384,2908625,462,34569,2869,284697,30071,2263744,225880,453870
10/08/20,1595531,0,397314,-1450284,2648501,142384,2903431,,,,,,,,
11/08/20,1595531,22,84507,-1445565,2956611,142384,2898712,,,,,,,,
12/08/20,1595581,3,415147,-1446781,2627217,142384,2899978,,,,,,,,
13/08/20,1595581,0,449309,-1439815,2586087,142384,2893012,,,,,,,,
14/08/20,1595581,0,451720,-1440069,2583930,142384,2893266,462,34569,2869,285154,30071,2267424,226690,468849
17/08/20,1595581,0,443704,-1432064,2583941,142384,2885261,,,,,,,,
18/08/20,1595581,0,449948,-1431471,2577104,142384,2884669,,,,,,,,
19/08/20,1595907,0,445363,-1435224,2585768,142384,2888748,,,,,,,,
20/08/20,1595907,0,443825,-1440113,2592195,142384,2893636,,,,,,,,
21/08/20,1595907,0,445436,-1449974,2600445,142384,2903498,462,34569,2869,285677,29677,2270479,227635,483899
24/08/20,1595907,0,452491,-1432292,2575708,142384,2885815,,,,,,,,
25/08/20,1595907,0,450809,-1427945,2573043,142384,2881468,,,,,,,,
26/08/20,1596210,0,446235,-1423683,2573659,142384,2877509,,,,,,,,
27/08/20,1595885,4,443155,-1425376,2578109,142384,2878877,,,,,,,,
28/08/20,1595885,6,476236,-1429701,2549355,142384,2883202,462,34569,2827,284442,29542,2273254,228224,497911
